Protein,HSA+AAG,,HSA Only,,AAG Only,
1,100,91.4728682,52.2222222,56.4814815,101,103
0.5,74.8201439,80.1526718,36.1666667,49.2622951,96.5,92.6
0.25,66.3333333,75.1724138,29.2372881,30.0826446,84.9,82
0.125,42.4369748,47.84,21.1320755,25.7272727,65.6,79.5
0.0625,37.699115,37.6521739,19.2035398,25.5172414,51.7,56.5
0.03125,30.5,33.5652174,24.0650407,21.8110236,33.7,34.8
0.015625,21.8897638,24.9206349,23.0508475,23.125,37.4,39.5
0.0078125,22.6315789,28.2352941,25.0458716,24.75,36.3,29.1
0.00390625,23.8135593,24.796748,24.8760331,23.015873,32.1,31.4
0.00195313,24.25,25.3846154,25.2212389,25.2380952,27.3,29.7
0.00097656,23.6666667,25.7391304,27.9816514,25.7264957,30.9,31.3
0.00048828,22,25.4954955,25.1612903,23.4883721,17.3,6.53
0.00024414,20.1492537,22.0155039,27.7586207,22.4626866,29.5,31.2
0.00012207,26.7768595,26.0714286,22.8333333,21.779661,31.1,32.2
0.000061035,22.6865672,22.1212121,21.9354839,21.4285714,30.3,34.3
0.000030518,22.0740741,20.6569343,23.1404959,19.75,31.6,28.9
0.000015259,21.8699187,21.6101695,19.826087,19.2307692,31.9,34.4
7.63E-06,22.3893805,15.2,23.9316239,13.6521739,27.4,25.8
3.81E-06,19.6527778,15.2592593,17.3504274,11.2977099,24.3,24.2
1.91E-06,20.3278689,18.8888889,14.8360656,13.362069,27.5,22
