Protein,HSA+AAG,,HSA Only,,AAG Only,
1,124,62.5,124.300112,106.411837,62.7807487,70.1
0.5,99,84.2,88.2743363,98.3833718,39.6190476,40.8
0.25,98.5,93,86.3636364,93.8941655,15.4285714,19.4672131
0.125,66.2,68.7,71.6012085,69.5906433,16.2384378,13.5902637
0.0625,33.7,35.4,34.5997286,35.5614973,11.1111111,11.9607843
0.03125,15.5,17.3,19.7771588,20.7133059,4.87155963,5.30701754
0.015625,12.8,13.6,11.5022091,10.2575107,7.2972973,7.30357143
0.0078125,9.3,9.51,5.84480601,12.8251748,7.3960396,9.45454545
0.00390625,2.6,3.96,5.77367206,7.2737819,4.29090909,4.73873874
0.00195313,5.48,6,8.19148936,9.6991404,5.51304348,4.82945736
0.00097656,6.68,6.45,10.7402235,11.0169492,7.40178571,5.97391304
0.00048828,3.51,3.01,3.72960373,4.16378316,4.09649123,5.14414414
0.00024414,5.65,0.297,10.739726,9.9272198,6.90833333,6.47933884
0.00012207,6.31,6.22,6.95322377,7.51004016,8.41964286,8.10185185
0.000061035,2.64,2.05,3.63402062,2.60582011,4.00892857,4.06481481
0.000030518,5.82,4.54,6.6011236,10.085592,5.5982906,6.0462963
0.000015259,6.68,5.38,7.39946381,6.58698539,10.8411215,7.06862745
7.63E-06,2.77,1.19,5.73138298,3.73819163,3.13207547,2.26666667
3.81E-06,4.87,3.83,5.6998739,5.3875969,4.6119403,4.70642202
1.91E-06,4.73,5.67,6.34691196,4.77987421,6.96116505,3.944
