Protein,HSA+AAG,,HSA Only,,AAG Only,
1,63.0327869,50.6666667,29.4267516,33.9830508,59.8066298,69.9029126
0.5,42.6119403,32.0930233,20.6451613,21.7333333,47.9539642,44.8933782
0.25,23.8596491,18.8617886,15.6410256,19.0756303,39.4014963,40.3680982
0.125,9.59677419,13.1967213,8.19626168,13.271028,34.3713956,43.1279621
0.0625,9.92366412,6.82432432,35.3225806,10.6569343,30.0720906,35.9246172
0.03125,8,10.1587302,14.957265,11.9685039,30.4029304,32.3713927
0.015625,9.18699187,10.3731343,16.4150943,17.6068376,32.5908558,33.59375
0.0078125,12.2222222,18.3760684,12.9007634,21.1403509,25.2365931,27.4663677
0.00390625,10.5555556,13.1092437,17.9816514,18.2644628,23.3796296,28.0133929
0.00195313,11.1111111,14.7857143,18.1981982,22.8695652,22.6708075,24.6478873
0.00097656,14.1525424,16.1290323,20.9345794,22.6363636,29.0804598,23.7345332
0.00048828,11.6666667,16.1016949,18.9344262,20.7936508,28.8686606,28.0239521
0.00024414,17.0344828,14.5398773,24.789916,24.5378151,26.372549,27.2632674
0.00012207,20.8333333,24.9579832,25.3333333,26.3716814,25.083612,29.5555556
0.000061035,13.8582677,11.8115942,21.9008264,20.6837607,24.9716232,24.9097473
0.000030518,16.9655172,16.4925373,25.0442478,24.5454545,29.5258621,25.5451713
0.000015259,19.037037,19.9099099,25.2727273,29.4690265,32.1428571,29.112426
7.63E-06,18.5217391,12.9411765,25.1327434,24.7236181,19.6814562,16.7290886
3.81E-06,20.75,17.394958,22.3275862,23.7142857,22.3364486,21.0075027
1.91E-06,19.6491228,21.1320755,30.6542056,22.2018349,27.764977,19.8208287
