Protein,HSA+AAG,,HSA Only,,AAG Only,
1,23.2786885,14.8333333,8.08917197,5.44915254,7.9558011,11.2343967
0.5,5.90298507,4.78294574,1.60645161,1.86,3.22250639,5.19640853
0.25,2.21929825,2.12195122,1.21367521,1.18487395,1.6084788,1.60736196
0.125,0.84677419,1.16393443,0.72981308,1.09345794,2.49134948,2.34597156
0.0625,0.59877863,0.62013514,0.54677419,0.59080292,2.24510814,1.76678445
0.03125,0.18016,0.25603175,0.23923077,0.41149606,0.88217338,0.89811794
0.015625,0.5003252,0.41776119,0.53773585,0.85435897,1.62954279,1.52901786
0.0078125,0.72555556,0.69606838,0.66748092,1.05263158,0.90399579,1.17713004
0.00390625,0.1431746,0.19033613,0.32311927,0.46892562,0.39490741,0.6125
0.00195313,0.50583333,0.67535714,0.57459459,0.79,0.86480331,0.80050302
0.00097656,0.71669492,0.87096774,0.86897196,0.71736364,1.18390805,0.90967379
0.00048828,0.16114035,0.23033898,0.5002459,0.52920635,0.59947984,0.70610778
0.00024414,0.5082069,0.73619632,1.04201681,0.97478992,1.06862745,1.6024974
0.00012207,0.91666667,0.94117647,1.4,1.49557522,1.41583055,1.21111111
0.000061035,0.20322835,0.15347826,0.51231405,0.31059829,0.40885358,0.34031288
0.000030518,0.88965517,0.75373134,1.55752212,1.31818182,1.20689655,0.77746625
0.000015259,0.91851852,0.92792793,1.03636364,1.2300885,1.38095238,1.58579882
7.63E-06,0.20356522,0.14431373,0.39495575,0.37778894,0.41638225,0.17390762
3.81E-06,0.95,0.55823529,0.90517241,1.08571429,0.84831776,0.71843516
1.91E-06,0.93859649,0.80386792,1.74766355,1.33027523,0.96797235,0.58107503
